Date,Close,Open,High,Low,Volume
05/04/18,580.45,573.85,583.60,569.50,13262168.00
06/04/18,587.20,574.85,589.90,573.00,8520201.00
09/04/18,586.15,589.50,595.75,583.40,9489221.00
10/04/18,601.90,593.00,604.60,592.30,10850710.00
11/04/18,608.05,608.00,610.90,600.35,8724716.00
12/04/18,598.40,606.90,608.75,596.70,6628499.00
13/04/18,594.05,600.00,604.70,590.40,6716146.00
16/04/18,591.60,591.00,596.80,585.15,5145813.00
17/04/18,596.05,595.00,604.60,591.95,6400378.00
18/04/18,601.60,600.95,604.90,594.60,4259135.00
19/04/18,621.95,606.05,624.50,606.05,10817008.00
20/04/18,606.20,618.95,618.95,602.60,6346274.00
23/04/18,606.60,608.30,611.00,600.10,4591161.00
24/04/18,597.55,594.45,601.80,589.40,5953046.00
25/04/18,586.20,598.00,598.50,584.30,4122443.00
26/04/18,578.20,588.00,591.55,576.70,7463062.00
27/04/18,589.80,582.95,594.75,581.25,4717405.00
30/04/18,594.95,591.65,599.90,586.00,3658754.00
02/05/18,574.50,597.10,597.40,572.95,4241068.00
03/05/18,585.45,574.00,587.40,568.10,6778904.00
04/05/18,580.75,586.70,589.80,579.25,3881632.00
07/05/18,596.45,585.95,597.95,581.00,4553509.00
08/05/18,596.35,600.00,604.20,590.50,4125958.00
09/05/18,603.15,593.40,608.85,592.55,6238211.00
10/05/18,594.15,603.90,606.80,591.15,4001269.00
11/05/18,607.25,597.00,610.55,591.20,6155537.00
14/05/18,610.35,608.20,614.95,602.30,5173139.00
15/05/18,625.95,609.00,636.80,605.50,12818436.00
16/05/18,621.25,626.00,632.50,616.95,8426301.00
17/05/18,610.30,629.95,630.80,602.15,16037341.00
18/05/18,591.40,615.00,616.70,590.35,8216629.00
21/05/18,577.00,592.50,600.75,574.75,7162233.00
22/05/18,576.80,578.10,583.50,569.50,6096646.00
23/05/18,540.05,576.00,576.00,537.40,17148386.00
24/05/18,548.20,543.90,553.90,536.55,8700822.00
25/05/18,568.25,554.00,570.80,552.00,8895619.00
28/05/18,576.65,571.00,579.45,565.10,5235667.00
29/05/18,575.35,574.95,588.00,569.35,6477911.00
30/05/18,577.90,568.05,581.50,567.55,6201888.00
31/05/18,575.65,584.00,587.30,572.05,6652510.00
01/06/18,560.65,570.00,579.60,556.30,9249666.00
04/06/18,566.15,564.05,572.50,560.30,8742527.00
05/06/18,572.10,566.80,574.90,560.60,4688204.00
06/06/18,579.75,574.45,581.70,569.20,4445305.00
07/06/18,602.10,582.10,603.90,581.90,9279353.00
08/06/18,600.50,599.00,608.20,592.00,8386078.00
11/06/18,588.65,601.05,605.50,586.25,5151101.00
12/06/18,580.00,586.95,588.75,577.20,8588935.00
13/06/18,567.60,579.60,583.80,566.00,9060032.00
14/06/18,569.55,567.00,574.80,561.00,7482514.00
15/06/18,566.00,571.20,574.80,562.00,6208764.00
